,0,Ed,Ed_Matrix,Str1,Str2,comptime,ref
0,1512132608.110031,,,,,,
1,p,,,,,,
2,f,,,,,,
3,1,,,,,,
4,"[[ 0.  1.]
 [ 1.  1.]]",,,,,,
5,0.00499415397644043,,,,,,
0,1512132608.125671,,,,,,
1,m,,,,,,
2,eh,,,,,,
3,2,,,,,,
4,"[[ 0.  1.  2.]
 [ 1.  1.  2.]]",,,,,,
5,0.0046100616455078125,,,,,,
0,1512132608.139412,,,,,,
1,q,,,,,,
2,psn,,,,,,
3,3,,,,,,
4,"[[ 0.  1.  2.  3.]
 [ 1.  1.  2.  3.]]",,,,,,
5,0.003940105438232422,,,,,,
0,1512132608.15248,,,,,,
1,q,,,,,,
2,drpv,,,,,,
3,4,,,,,,
4,"[[ 0.  1.  2.  3.  4.]
 [ 1.  1.  2.  3.  4.]]",,,,,,
5,0.0037431716918945312,,,,,,
0,1512132608.16478,,,,,,
1,j,,,,,,
2,bfqjh,,,,,,
3,4,,,,,,
4,"[[ 0.  1.  2.  3.  4.  5.]
 [ 1.  1.  2.  3.  3.  4.]]",,,,,,
5,0.0035750865936279297,,,,,,
0,1512132608.176635,,,,,,
1,y,,,,,,
2,bccujh,,,,,,
3,6,,,,,,
4,"[[ 0.  1.  2.  3.  4.  5.  6.]
 [ 1.  1.  2.  3.  4.  5.  6.]]",,,,,,
5,0.003509044647216797,,,,,,
0,1512132608.190069,,,,,,
1,s,,,,,,
2,juvvzwb,,,,,,
3,7,,,,,,
4,"[[ 0.  1.  2.  3.  4.  5.  6.  7.]
 [ 1.  1.  2.  3.  4.  5.  6.  7.]]",,,,,,
5,0.0036950111389160156,,,,,,
0,1512132608.203664,,,,,,
1,h,,,,,,
2,xejwxrwm,,,,,,
3,8,,,,,,
4,"[[ 0.  1.  2.  3.  4.  5.  6.  7.  8.]
 [ 1.  1.  2.  3.  4.  5.  6.  7.  8.]]",,,,,,
5,0.004523038864135742,,,,,,
0,1512132608.216556,,,,,,
1,s,,,,,,
2,wtrstmemz,,,,,,
3,8,,,,,,
4,"[[ 0.  1.  2.  3.  4.  5.  6.  7.  8.  9.]
 [ 1.  1.  2.  3.  3.  4.  5.  6.  7.  8.]]",,,,,,
5,0.003579854965209961,,,,,,
0,1512132608.228378,,,,,,
1,cb,,,,,,
2,k,,,,,,
3,2,,,,,,
4,"[[ 0.  1.]
 [ 1.  1.]
 [ 2.  2.]]",,,,,,
5,0.003487825393676758,,,,,,
0,1512132608.239628,,,,,,
1,px,,,,,,
2,ec,,,,,,
3,2,,,,,,
4,"[[ 0.  1.  2.]
 [ 1.  1.  2.]
 [ 2.  2.  2.]]",,,,,,
5,0.003332853317260742,,,,,,
0,1512132608.251198,,,,,,
1,xt,,,,,,
2,chy,,,,,,
3,3,,,,,,
4,"[[ 0.  1.  2.  3.]
 [ 1.  1.  2.  3.]
 [ 2.  2.  2.  3.]]",,,,,,
5,0.0034279823303222656,,,,,,
0,1512132608.263635,,,,,,
1,lb,,,,,,
2,ybiy,,,,,,
3,3,,,,,,
4,"[[ 0.  1.  2.  3.  4.]
 [ 1.  1.  2.  3.  4.]
 [ 2.  2.  1.  2.  3.]]",,,,,,
5,0.0035860538482666016,,,,,,
0,1512132608.276096,,,,,,
1,rm,,,,,,
2,ptdbl,,,,,,
3,5,,,,,,
4,"[[ 0.  1.  2.  3.  4.  5.]
 [ 1.  1.  2.  3.  4.  5.]
 [ 2.  2.  2.  3.  4.  5.]]",,,,,,
5,0.003532886505126953,,,,,,
0,1512132608.288311,,,,,,
1,qr,,,,,,
2,fdzycs,,,,,,
3,6,,,,,,
4,"[[ 0.  1.  2.  3.  4.  5.  6.]
 [ 1.  1.  2.  3.  4.  5.  6.]
 [ 2.  2.  2.  3.  4.  5.  6.]]",,,,,,
5,0.003473043441772461,,,,,,
0,1512132608.300666,,,,,,
1,tf,,,,,,
2,vwufsao,,,,,,
3,6,,,,,,
4,"[[ 0.  1.  2.  3.  4.  5.  6.  7.]
 [ 1.  1.  2.  3.  4.  5.  6.  7.]
 [ 2.  2.  2.  3.  3.  4.  5.  6.]]",,,,,,
5,0.0034568309783935547,,,,,,
