,ref,Str1,Str2,Ed,Ed_Matrix,comptime
1,1512140033.85,k,w,1,"[[ 0.  1.]
 [ 1.  1.]]",0.00356721878052
2,1512140033.86,p,kd,2,"[[ 0.  1.  2.]
 [ 1.  1.  2.]]",0.003338098526
3,1512140033.87,k,fti,3,"[[ 0.  1.  2.  3.]
 [ 1.  1.  2.  3.]]",0.00331091880798
4,1512140033.89,b,nmcw,4,"[[ 0.  1.  2.  3.  4.]
 [ 1.  1.  2.  3.  4.]]",0.00343799591064
5,1512140033.9,x,kkaim,5,"[[ 0.  1.  2.  3.  4.  5.]
 [ 1.  1.  2.  3.  4.  5.]]",0.00329804420471
6,1512140033.91,y,iktpkg,6,"[[ 0.  1.  2.  3.  4.  5.  6.]
 [ 1.  1.  2.  3.  4.  5.  6.]]",0.00330185890198
7,1512140033.92,i,ihzvmdp,6,"[[ 0.  1.  2.  3.  4.  5.  6.  7.]
 [ 1.  0.  1.  2.  3.  4.  5.  6.]]",0.00329995155334
8,1512140033.93,r,weduqvgq,8,"[[ 0.  1.  2.  3.  4.  5.  6.  7.  8.]
 [ 1.  1.  2.  3.  4.  5.  6.  7.  8.]]",0.00326490402222
9,1512140033.93,f,hoehokmru,9,"[[ 0.  1.  2.  3.  4.  5.  6.  7.  8.  9.]
 [ 1.  1.  2.  3.  4.  5.  6.  7.  8.  9.]]",0.00327897071838
10,1512140033.94,qj,f,2,"[[ 0.  1.]
 [ 1.  1.]
 [ 2.  2.]]",0.00324892997742
11,1512140033.95,oj,iu,2,"[[ 0.  1.  2.]
 [ 1.  1.  2.]
 [ 2.  2.  2.]]",0.00349807739258
12,1512140033.96,uj,pod,3,"[[ 0.  1.  2.  3.]
 [ 1.  1.  2.  3.]
 [ 2.  2.  2.  3.]]",0.00330901145935
13,1512140033.97,uc,wrwp,4,"[[ 0.  1.  2.  3.  4.]
 [ 1.  1.  2.  3.  4.]
 [ 2.  2.  2.  3.  4.]]",0.00329685211182
14,1512140033.97,dy,rxkdw,4,"[[ 0.  1.  2.  3.  4.  5.]
 [ 1.  1.  2.  3.  3.  4.]
 [ 2.  2.  2.  3.  4.  4.]]",0.00336098670959
15,1512140033.98,yd,squrip,6,"[[ 0.  1.  2.  3.  4.  5.  6.]
 [ 1.  1.  2.  3.  4.  5.  6.]
 [ 2.  2.  2.  3.  4.  5.  6.]]",0.00336790084839
16,1512140033.99,ln,fwkwlol,6,"[[ 0.  1.  2.  3.  4.  5.  6.  7.]
 [ 1.  1.  2.  3.  4.  4.  5.  6.]
 [ 2.  2.  2.  3.  4.  5.  5.  6.]]",0.00329613685608
17,1512140034.0,uo,jpuixnek,7,"[[ 0.  1.  2.  3.  4.  5.  6.  7.  8.]
 [ 1.  1.  2.  2.  3.  4.  5.  6.  7.]
 [ 2.  2.  2.  3.  3.  4.  5.  6.  7.]]",0.00464391708374
18,1512140034.01,gp,jonwmbcqz,9,"[[ 0.  1.  2.  3.  4.  5.  6.  7.  8.  9.]
 [ 1.  1.  2.  3.  4.  5.  6.  7.  8.  9.]
 [ 2.  2.  2.  3.  4.  5.  6.  7.  8.  9.]]",0.00401401519775
19,1512140034.02,usi,x,3,"[[ 0.  1.]
 [ 1.  1.]
 [ 2.  2.]
 [ 3.  3.]]",0.00351691246033
20,1512140034.03,nfw,na,2,"[[ 0.  1.  2.]
 [ 1.  0.  1.]
 [ 2.  1.  1.]
 [ 3.  2.  2.]]",0.00329804420471
21,1512140034.04,mvp,gyn,3,"[[ 0.  1.  2.  3.]
 [ 1.  1.  2.  3.]
 [ 2.  2.  2.  3.]
 [ 3.  3.  3.  3.]]",0.00327706336975
22,1512140034.04,ppe,wsct,4,"[[ 0.  1.  2.  3.  4.]
 [ 1.  1.  2.  3.  4.]
 [ 2.  2.  2.  3.  4.]
 [ 3.  3.  3.  3.  4.]]",0.00328397750854
23,1512140034.05,gjf,dhzmc,5,"[[ 0.  1.  2.  3.  4.  5.]
 [ 1.  1.  2.  3.  4.  5.]
 [ 2.  2.  2.  3.  4.  5.]
 [ 3.  3.  3.  3.  4.  5.]]",0.00543999671936
24,1512140034.06,wpm,mqyaoi,6,"[[ 0.  1.  2.  3.  4.  5.  6.]
 [ 1.  1.  2.  3.  4.  5.  6.]
 [ 2.  2.  2.  3.  4.  5.  6.]
 [ 3.  2.  3.  3.  4.  5.  6.]]",0.00339293479919
25,1512140034.07,gyb,atqxljh,7,"[[ 0.  1.  2.  3.  4.  5.  6.  7.]
 [ 1.  1.  2.  3.  4.  5.  6.  7.]
 [ 2.  2.  2.  3.  4.  5.  6.  7.]
 [ 3.  3.  3.  3.  4.  5.  6.  7.]]",0.00351500511169
26,1512140034.08,xoq,afwpdplc,8,"[[ 0.  1.  2.  3.  4.  5.  6.  7.  8.]
 [ 1.  1.  2.  3.  4.  5.  6.  7.  8.]
 [ 2.  2.  2.  3.  4.  5.  6.  7.  8.]
 [ 3.  3.  3.  3.  4.  5.  6.  7.  8.]]",0.00342106819153
27,1512140034.09,koz,jiifkxejw,8,"[[ 0.  1.  2.  3.  4.  5.  6.  7.  8.  9.]
 [ 1.  1.  2.  3.  4.  4.  5.  6.  7.  8.]
 [ 2.  2.  2.  3.  4.  5.  5.  6.  7.  8.]
 [ 3.  3.  3.  3.  4.  5.  6.  6.  7.  8.]]",0.00499105453491
28,1512140034.1,jqbx,z,4,"[[ 0.  1.]
 [ 1.  1.]
 [ 2.  2.]
 [ 3.  3.]
 [ 4.  4.]]",0.00542593002319
29,1512140034.12,anbu,cu,3,"[[ 0.  1.  2.]
 [ 1.  1.  2.]
 [ 2.  2.  2.]
 [ 3.  3.  3.]
 [ 4.  4.  3.]]",0.00447607040405
30,1512140034.13,ikiy,ows,4,"[[ 0.  1.  2.  3.]
 [ 1.  1.  2.  3.]
 [ 2.  2.  2.  3.]
 [ 3.  3.  3.  3.]
 [ 4.  4.  4.  4.]]",0.00359392166138
31,1512140034.14,icyc,hxef,4,"[[ 0.  1.  2.  3.  4.]
 [ 1.  1.  2.  3.  4.]
 [ 2.  2.  2.  3.  4.]
 [ 3.  3.  3.  3.  4.]
 [ 4.  4.  4.  4.  4.]]",0.00343585014343
32,1512140034.15,uklk,udccv,4,"[[ 0.  1.  2.  3.  4.  5.]
 [ 1.  0.  1.  2.  3.  4.]
 [ 2.  1.  1.  2.  3.  4.]
 [ 3.  2.  2.  2.  3.  4.]
 [ 4.  3.  3.  3.  3.  4.]]",0.00423908233643
33,1512140034.16,slqs,pzwlgk,5,"[[ 0.  1.  2.  3.  4.  5.  6.]
 [ 1.  1.  2.  3.  4.  5.  6.]
 [ 2.  2.  2.  3.  3.  4.  5.]
 [ 3.  3.  3.  3.  4.  4.  5.]
 [ 4.  4.  4.  4.  4.  5.  5.]]",0.00361299514771
34,1512140034.17,esyp,vsgxyjd,5,"[[ 0.  1.  2.  3.  4.  5.  6.  7.]
 [ 1.  1.  2.  3.  4.  5.  6.  7.]
 [ 2.  2.  1.  2.  3.  4.  5.  6.]
 [ 3.  3.  2.  2.  3.  3.  4.  5.]
 [ 4.  4.  3.  3.  3.  4.  4.  5.]]",0.00340580940247
35,1512140034.17,psdj,qqxswnaz,7,"[[ 0.  1.  2.  3.  4.  5.  6.  7.  8.]
 [ 1.  1.  2.  3.  4.  5.  6.  7.  8.]
 [ 2.  2.  2.  3.  3.  4.  5.  6.  7.]
 [ 3.  3.  3.  3.  4.  4.  5.  6.  7.]
 [ 4.  4.  4.  4.  4.  5.  5.  6.  7.]]",0.00345277786255
36,1512140034.18,eqna,sutixolas,8,"[[ 0.  1.  2.  3.  4.  5.  6.  7.  8.  9.]
 [ 1.  1.  2.  3.  4.  5.  6.  7.  8.  9.]
 [ 2.  2.  2.  3.  4.  5.  6.  7.  8.  9.]
 [ 3.  3.  3.  3.  4.  5.  6.  7.  8.  9.]
 [ 4.  4.  4.  4.  4.  5.  6.  7.  7.  8.]]",0.00349092483521
37,1512140034.19,ggwdi,y,5,"[[ 0.  1.]
 [ 1.  1.]
 [ 2.  2.]
 [ 3.  3.]
 [ 4.  4.]
 [ 5.  5.]]",0.00327682495117
38,1512140034.2,igqmq,wo,5,"[[ 0.  1.  2.]
 [ 1.  1.  2.]
 [ 2.  2.  2.]
 [ 3.  3.  3.]
 [ 4.  4.  4.]
 [ 5.  5.  5.]]",0.00341582298279
