,ref,Str1,Str2,Ed,Ed_Matrix,comptime
1,1513012357.23,j,q,1,"[[ 0.  1.]
 [ 1.  1.]]",0.00390982627869
2,1513012357.24,s,oy,2,"[[ 0.  1.  2.]
 [ 1.  1.  2.]]",0.00347089767456
3,1513012357.24,e,pbk,3,"[[ 0.  1.  2.  3.]
 [ 1.  1.  2.  3.]]",0.00352597236633
4,1513012357.25,e,ptuq,4,"[[ 0.  1.  2.  3.  4.]
 [ 1.  1.  2.  3.  4.]]",0.00345993041992
5,1513012357.26,x,ywjgj,5,"[[ 0.  1.  2.  3.  4.  5.]
 [ 1.  1.  2.  3.  4.  5.]]",0.00347113609314
6,1513012357.27,k,puuyaq,6,"[[ 0.  1.  2.  3.  4.  5.  6.]
 [ 1.  1.  2.  3.  4.  5.  6.]]",0.00349497795105
7,1513012357.28,w,hchkjph,7,"[[ 0.  1.  2.  3.  4.  5.  6.  7.]
 [ 1.  1.  2.  3.  4.  5.  6.  7.]]",0.00366020202637
8,1513012357.29,t,zrtmjqry,7,"[[ 0.  1.  2.  3.  4.  5.  6.  7.  8.]
 [ 1.  1.  2.  2.  3.  4.  5.  6.  7.]]",0.00340485572815
9,1513012357.3,z,pvnbcrvvy,9,"[[ 0.  1.  2.  3.  4.  5.  6.  7.  8.  9.]
 [ 1.  1.  2.  3.  4.  5.  6.  7.  8.  9.]]",0.00377893447876
10,1513012357.31,gt,w,2,"[[ 0.  1.]
 [ 1.  1.]
 [ 2.  2.]]",0.00342106819153
11,1513012357.31,ay,tf,2,"[[ 0.  1.  2.]
 [ 1.  1.  2.]
 [ 2.  2.  2.]]",0.0037260055542
12,1513012357.32,ww,ifh,3,"[[ 0.  1.  2.  3.]
 [ 1.  1.  2.  3.]
 [ 2.  2.  2.  3.]]",0.00338315963745
13,1513012357.33,ij,hncz,4,"[[ 0.  1.  2.  3.  4.]
 [ 1.  1.  2.  3.  4.]
 [ 2.  2.  2.  3.  4.]]",0.0034441947937
14,1513012357.34,nr,jqjuv,5,"[[ 0.  1.  2.  3.  4.  5.]
 [ 1.  1.  2.  3.  4.  5.]
 [ 2.  2.  2.  3.  4.  5.]]",0.00338387489319
15,1513012357.35,fw,zgoaqf,6,"[[ 0.  1.  2.  3.  4.  5.  6.]
 [ 1.  1.  2.  3.  4.  5.  5.]
 [ 2.  2.  2.  3.  4.  5.  6.]]",0.00353503227234
16,1513012357.36,uo,rxshdkj,7,"[[ 0.  1.  2.  3.  4.  5.  6.  7.]
 [ 1.  1.  2.  3.  4.  5.  6.  7.]
 [ 2.  2.  2.  3.  4.  5.  6.  7.]]",0.00341010093689
