,0,Ed,Ed_Matrix,Str1,Str2,comptime,ref
0,1512133004.244607,,,,,,
1,s,,,,,,
2,t,,,,,,
3,1,,,,,,
4,"[[ 0.  1.]
 [ 1.  1.]]",,,,,,
5,0.0037279129028320312,,,,,,
0,1512133004.268662,,,,,,
1,x,,,,,,
2,ir,,,,,,
3,2,,,,,,
4,"[[ 0.  1.  2.]
 [ 1.  1.  2.]]",,,,,,
5,0.003765106201171875,,,,,,
0,1512133004.298541,,,,,,
1,y,,,,,,
2,wov,,,,,,
3,3,,,,,,
4,"[[ 0.  1.  2.  3.]
 [ 1.  1.  2.  3.]]",,,,,,
5,0.005296945571899414,,,,,,
0,1512133004.328327,,,,,,
1,w,,,,,,
2,vaau,,,,,,
3,4,,,,,,
4,"[[ 0.  1.  2.  3.  4.]
 [ 1.  1.  2.  3.  4.]]",,,,,,
5,0.0037369728088378906,,,,,,
0,1512133004.357534,,,,,,
1,k,,,,,,
2,iyhgs,,,,,,
3,5,,,,,,
4,"[[ 0.  1.  2.  3.  4.  5.]
 [ 1.  1.  2.  3.  4.  5.]]",,,,,,
5,0.00403594970703125,,,,,,
0,1512133004.390162,,,,,,
1,s,,,,,,
2,dyyauq,,,,,,
3,6,,,,,,
4,"[[ 0.  1.  2.  3.  4.  5.  6.]
 [ 1.  1.  2.  3.  4.  5.  6.]]",,,,,,
5,0.006438016891479492,,,,,,
0,1512133004.439875,,,,,,
1,d,,,,,,
2,nxfiqwa,,,,,,
3,7,,,,,,
4,"[[ 0.  1.  2.  3.  4.  5.  6.  7.]
 [ 1.  1.  2.  3.  4.  5.  6.  7.]]",,,,,,
5,0.0038301944732666016,,,,,,
0,1512133004.484344,,,,,,
1,f,,,,,,
2,uosmprkq,,,,,,
3,8,,,,,,
4,"[[ 0.  1.  2.  3.  4.  5.  6.  7.  8.]
 [ 1.  1.  2.  3.  4.  5.  6.  7.  8.]]",,,,,,
5,0.0050470829010009766,,,,,,
0,1512133004.532033,,,,,,
1,h,,,,,,
2,banpmguus,,,,,,
3,9,,,,,,
4,"[[ 0.  1.  2.  3.  4.  5.  6.  7.  8.  9.]
 [ 1.  1.  2.  3.  4.  5.  6.  7.  8.  9.]]",,,,,,
5,0.004926919937133789,,,,,,
0,1512133004.581874,,,,,,
1,ix,,,,,,
2,z,,,,,,
3,2,,,,,,
4,"[[ 0.  1.]
 [ 1.  1.]
 [ 2.  2.]]",,,,,,
5,0.004555225372314453,,,,,,
0,1512133004.631601,,,,,,
1,ks,,,,,,
2,jx,,,,,,
3,2,,,,,,
