,0,Ed,Ed_Matrix,Str1,Str2,comptime,ref
0,1512132289.293853,,,,,,
1,d,,,,,,
2,u,,,,,,
3,1,,,,,,
4,"[[ 0.  1.]
 [ 1.  1.]]",,,,,,
5,0.020546913146972656,,,,,,
0,1512132289.441184,,,,,,
1,w,,,,,,
2,mr,,,,,,
3,2,,,,,,
4,"[[ 0.  1.  2.]
 [ 1.  1.  2.]]",,,,,,
5,0.006345033645629883,,,,,,
0,1512132289.53178,,,,,,
1,u,,,,,,
2,zkr,,,,,,
3,3,,,,,,
4,"[[ 0.  1.  2.  3.]
 [ 1.  1.  2.  3.]]",,,,,,
5,0.0061800479888916016,,,,,,
0,1512132289.578271,,,,,,
1,k,,,,,,
2,dzgl,,,,,,
3,4,,,,,,
4,"[[ 0.  1.  2.  3.  4.]
 [ 1.  1.  2.  3.  4.]]",,,,,,
5,0.007194042205810547,,,,,,
0,1512132289.644199,,,,,,
1,f,,,,,,
2,yoepp,,,,,,
3,5,,,,,,
4,"[[ 0.  1.  2.  3.  4.  5.]
 [ 1.  1.  2.  3.  4.  5.]]",,,,,,
5,0.0067920684814453125,,,,,,
0,1512132289.686596,,,,,,
1,w,,,,,,
2,nwnrpn,,,,,,
3,5,,,,,,
4,"[[ 0.  1.  2.  3.  4.  5.  6.]
 [ 1.  1.  1.  2.  3.  4.  5.]]",,,,,,
5,0.004034996032714844,,,,,,
0,1512132289.727229,,,,,,
1,z,,,,,,
2,oqieygx,,,,,,
3,7,,,,,,
4,"[[ 0.  1.  2.  3.  4.  5.  6.  7.]
 [ 1.  1.  2.  3.  4.  5.  6.  7.]]",,,,,,
5,0.00403594970703125,,,,,,
0,1512132289.764827,,,,,,
1,r,,,,,,
2,mennxqld,,,,,,
3,8,,,,,,
4,"[[ 0.  1.  2.  3.  4.  5.  6.  7.  8.]
 [ 1.  1.  2.  3.  4.  5.  6.  7.  8.]]",,,,,,
5,0.003843069076538086,,,,,,
0,1512132289.820987,,,,,,
1,b,,,,,,
2,lsybggfbq,,,,,,
3,8,,,,,,
4,"[[ 0.  1.  2.  3.  4.  5.  6.  7.  8.  9.]
 [ 1.  1.  2.  3.  3.  4.  5.  6.  7.  8.]]",,,,,,
5,0.006060123443603516,,,,,,
0,1512132289.892427,,,,,,
1,bk,,,,,,
2,c,,,,,,
3,2,,,,,,
4,"[[ 0.  1.]
 [ 1.  1.]
 [ 2.  2.]]",,,,,,
5,0.006983041763305664,,,,,,
0,1512132289.948536,,,,,,
1,rf,,,,,,
2,li,,,,,,
3,2,,,,,,
4,"[[ 0.  1.  2.]
 [ 1.  1.  2.]
 [ 2.  2.  2.]]",,,,,,
5,0.004285097122192383,,,,,,
0,1512132289.999747,,,,,,
1,jd,,,,,,
2,way,,,,,,
3,3,,,,,,
4,"[[ 0.  1.  2.  3.]
 [ 1.  1.  2.  3.]
 [ 2.  2.  2.  3.]]",,,,,,
5,0.003969907760620117,,,,,,
0,1512132290.0627,,,,,,
1,nf,,,,,,
2,fwor,,,,,,
3,4,,,,,,
4,"[[ 0.  1.  2.  3.  4.]
 [ 1.  1.  2.  3.  4.]
 [ 2.  1.  2.  3.  4.]]",,,,,,
5,0.00441288948059082,,,,,,
0,1512132290.118067,,,,,,
1,vl,,,,,,
2,sgefl,,,,,,
3,4,,,,,,
4,"[[ 0.  1.  2.  3.  4.  5.]
 [ 1.  1.  2.  3.  4.  5.]
 [ 2.  2.  2.  3.  4.  4.]]",,,,,,
5,0.004117012023925781,,,,,,
0,1512132290.169177,,,,,,
1,la,,,,,,
2,gwnklm,,,,,,
3,5,,,,,,
4,"[[ 0.  1.  2.  3.  4.  5.  6.]
 [ 1.  1.  2.  3.  4.  4.  5.]
 [ 2.  2.  2.  3.  4.  5.  5.]]",,,,,,
5,0.004004955291748047,,,,,,
0,1512132290.219835,,,,,,
1,ej,,,,,,
2,rltjicd,,,,,,
3,6,,,,,,
4,"[[ 0.  1.  2.  3.  4.  5.  6.  7.]
 [ 1.  1.  2.  3.  4.  5.  6.  7.]
 [ 2.  2.  2.  3.  3.  4.  5.  6.]]",,,,,,
5,0.00368499755859375,,,,,,
0,1512132290.270619,,,,,,
1,hs,,,,,,
2,qtbrvtyu,,,,,,
3,8,,,,,,
4,"[[ 0.  1.  2.  3.  4.  5.  6.  7.  8.]
 [ 1.  1.  2.  3.  4.  5.  6.  7.  8.]
 [ 2.  2.  2.  3.  4.  5.  6.  7.  8.]]",,,,,,
5,0.0054111480712890625,,,,,,
0,1512132290.327183,,,,,,
1,wf,,,,,,
2,ttwzcpilv,,,,,,
3,8,,,,,,
4,"[[ 0.  1.  2.  3.  4.  5.  6.  7.  8.  9.]
 [ 1.  1.  2.  2.  3.  4.  5.  6.  7.  8.]
 [ 2.  2.  2.  3.  3.  4.  5.  6.  7.  8.]]",,,,,,
5,0.004530906677246094,,,,,,
0,1512132290.389944,,,,,,
1,rzx,,,,,,
2,n,,,,,,
3,3,,,,,,
4,"[[ 0.  1.]
 [ 1.  1.]
 [ 2.  2.]
 [ 3.  3.]]",,,,,,
5,0.005257844924926758,,,,,,
0,1512132290.441878,,,,,,
1,rcr,,,,,,
2,io,,,,,,
3,3,,,,,,
4,"[[ 0.  1.  2.]
 [ 1.  1.  2.]
 [ 2.  2.  2.]
 [ 3.  3.  3.]]",,,,,,
5,0.003737926483154297,,,,,,
0,1512132290.513916,,,,,,
1,qgm,,,,,,
2,pdk,,,,,,
3,3,,,,,,
4,"[[ 0.  1.  2.  3.]
 [ 1.  1.  2.  3.]
 [ 2.  2.  2.  3.]
 [ 3.  3.  3.  3.]]",,,,,,
5,0.007134914398193359,,,,,,
0,1512132290.610302,,,,,,
1,vks,,,,,,
2,bwkd,,,,,,
3,3,,,,,,
4,"[[ 0.  1.  2.  3.  4.]
 [ 1.  1.  2.  3.  4.]
 [ 2.  2.  2.  2.  3.]
 [ 3.  3.  3.  3.  3.]]",,,,,,
5,0.006299018859863281,,,,,,
0,1512132290.675186,,,,,,
1,xjv,,,,,,
2,jfdth,,,,,,
3,5,,,,,,
4,"[[ 0.  1.  2.  3.  4.  5.]
 [ 1.  1.  2.  3.  4.  5.]
 [ 2.  1.  2.  3.  4.  5.]
 [ 3.  2.  2.  3.  4.  5.]]",,,,,,
5,0.005724191665649414,,,,,,
0,1512132290.756742,,,,,,
1,hbb,,,,,,
2,sucznm,,,,,,
3,6,,,,,,
4,"[[ 0.  1.  2.  3.  4.  5.  6.]
 [ 1.  1.  2.  3.  4.  5.  6.]
 [ 2.  2.  2.  3.  4.  5.  6.]
 [ 3.  3.  3.  3.  4.  5.  6.]]",,,,,,
5,0.0076329708099365234,,,,,,
0,1512132290.854568,,,,,,
1,whj,,,,,,
2,ifdyxkt,,,,,,
3,7,,,,,,
4,"[[ 0.  1.  2.  3.  4.  5.  6.  7.]
 [ 1.  1.  2.  3.  4.  5.  6.  7.]
 [ 2.  2.  2.  3.  4.  5.  6.  7.]
 [ 3.  3.  3.  3.  4.  5.  6.  7.]]",,,,,,
5,0.0071868896484375,,,,,,
0,1512132290.920516,,,,,,
1,udb,,,,,,
2,xvultbne,,,,,,
3,6,,,,,,
4,"[[ 0.  1.  2.  3.  4.  5.  6.  7.  8.]
 [ 1.  1.  2.  2.  3.  4.  5.  6.  7.]
 [ 2.  2.  2.  3.  3.  4.  5.  6.  7.]
 [ 3.  3.  3.  3.  4.  4.  4.  5.  6.]]",,,,,,
5,0.004314899444580078,,,,,,
0,1512132290.986729,,,,,,
1,pwv,,,,,,
2,edgtfeull,,,,,,
3,9,,,,,,
4,"[[ 0.  1.  2.  3.  4.  5.  6.  7.  8.  9.]
 [ 1.  1.  2.  3.  4.  5.  6.  7.  8.  9.]
 [ 2.  2.  2.  3.  4.  5.  6.  7.  8.  9.]
 [ 3.  3.  3.  3.  4.  5.  6.  7.  8.  9.]]",,,,,,
5,0.006092071533203125,,,,,,
0,1512132291.075534,,,,,,
1,mbyj,,,,,,
2,i,,,,,,
3,4,,,,,,
4,"[[ 0.  1.]
 [ 1.  1.]
 [ 2.  2.]
 [ 3.  3.]
 [ 4.  4.]]",,,,,,
5,0.006040811538696289,,,,,,
0,1512132291.135697,,,,,,
1,esjo,,,,,,
2,nm,,,,,,
3,4,,,,,,
4,"[[ 0.  1.  2.]
 [ 1.  1.  2.]
 [ 2.  2.  2.]
 [ 3.  3.  3.]
 [ 4.  4.  4.]]",,,,,,
5,0.003991127014160156,,,,,,
0,1512132291.228053,,,,,,
1,gemj,,,,,,
2,onb,,,,,,
3,4,,,,,,
4,"[[ 0.  1.  2.  3.]
 [ 1.  1.  2.  3.]
 [ 2.  2.  2.  3.]
 [ 3.  3.  3.  3.]
 [ 4.  4.  4.  4.]]",,,,,,
5,0.006304025650024414,,,,,,
0,1512132291.311773,,,,,,
1,kmnh,,,,,,
2,igsf,,,,,,
3,4,,,,,,
4,"[[ 0.  1.  2.  3.  4.]
 [ 1.  1.  2.  3.  4.]
 [ 2.  2.  2.  3.  4.]
 [ 3.  3.  3.  3.  4.]
 [ 4.  4.  4.  4.  4.]]",,,,,,
5,0.0038690567016601562,,,,,,
0,1512132291.371534,,,,,,
1,hlgj,,,,,,
2,wpwyl,,,,,,
3,5,,,,,,
4,"[[ 0.  1.  2.  3.  4.  5.]
 [ 1.  1.  2.  3.  4.  5.]
 [ 2.  2.  2.  3.  4.  4.]
 [ 3.  3.  3.  3.  4.  5.]
 [ 4.  4.  4.  4.  4.  5.]]",,,,,,
5,0.003679990768432617,,,,,,
0,1512132291.425151,,,,,,
1,qpqi,,,,,,
2,wgthkm,,,,,,
3,6,,,,,,
4,"[[ 0.  1.  2.  3.  4.  5.  6.]
 [ 1.  1.  2.  3.  4.  5.  6.]
 [ 2.  2.  2.  3.  4.  5.  6.]
 [ 3.  3.  3.  3.  4.  5.  6.]
 [ 4.  4.  4.  4.  4.  5.  6.]]",,,,,,
5,0.004059791564941406,,,,,,
0,1512132291.513654,,,,,,
1,vflq,,,,,,
2,kansfdt,,,,,,
3,6,,,,,,
4,"[[ 0.  1.  2.  3.  4.  5.  6.  7.]
 [ 1.  1.  2.  3.  4.  5.  6.  7.]
 [ 2.  2.  2.  3.  4.  4.  5.  6.]
 [ 3.  3.  3.  3.  4.  5.  5.  6.]
 [ 4.  4.  4.  4.  4.  5.  6.  6.]]",,,,,,
5,0.006360054016113281,,,,,,
0,1512132291.58139,,,,,,
1,xtdj,,,,,,
2,fgwvpwcr,,,,,,
3,8,,,,,,
4,"[[ 0.  1.  2.  3.  4.  5.  6.  7.  8.]
 [ 1.  1.  2.  3.  4.  5.  6.  7.  8.]
 [ 2.  2.  2.  3.  4.  5.  6.  7.  8.]
 [ 3.  3.  3.  3.  4.  5.  6.  7.  8.]
 [ 4.  4.  4.  4.  4.  5.  6.  7.  8.]]",,,,,,
5,0.003943204879760742,,,,,,
0,1512132291.647957,,,,,,
1,wzvn,,,,,,
2,lkgxydgyh,,,,,,
3,9,,,,,,
4,"[[ 0.  1.  2.  3.  4.  5.  6.  7.  8.  9.]
 [ 1.  1.  2.  3.  4.  5.  6.  7.  8.  9.]
 [ 2.  2.  2.  3.  4.  5.  6.  7.  8.  9.]
 [ 3.  3.  3.  3.  4.  5.  6.  7.  8.  9.]
 [ 4.  4.  4.  4.  4.  5.  6.  7.  8.  9.]]",,,,,,
5,0.004988908767700195,,,,,,
0,1512132291.72312,,,,,,
1,ikcrm,,,,,,
2,g,,,,,,
3,5,,,,,,
4,"[[ 0.  1.]
 [ 1.  1.]
 [ 2.  2.]
 [ 3.  3.]
 [ 4.  4.]
 [ 5.  5.]]",,,,,,
5,0.005052089691162109,,,,,,
0,1512132291.790955,,,,,,
1,gnhvq,,,,,,
2,zl,,,,,,
3,5,,,,,,
4,"[[ 0.  1.  2.]
 [ 1.  1.  2.]
 [ 2.  2.  2.]
 [ 3.  3.  3.]
 [ 4.  4.  4.]
 [ 5.  5.  5.]]",,,,,,
5,0.003702878952026367,,,,,,
0,1512132291.854473,,,,,,
1,guoyf,,,,,,
2,elt,,,,,,
3,5,,,,,,
4,"[[ 0.  1.  2.  3.]
 [ 1.  1.  2.  3.]
 [ 2.  2.  2.  3.]
 [ 3.  3.  3.  3.]
 [ 4.  4.  4.  4.]
 [ 5.  5.  5.  5.]]",,,,,,
5,0.0047419071197509766,,,,,,
0,1512132291.930609,,,,,,
1,himim,,,,,,
2,uryo,,,,,,
3,5,,,,,,
4,"[[ 0.  1.  2.  3.  4.]
 [ 1.  1.  2.  3.  4.]
 [ 2.  2.  2.  3.  4.]
 [ 3.  3.  3.  3.  4.]
 [ 4.  4.  4.  4.  4.]
 [ 5.  5.  5.  5.  5.]]",,,,,,
5,0.0045239925384521484,,,,,,
0,1512132292.01557,,,,,,
1,ryszr,,,,,,
2,mrsho,,,,,,
3,4,,,,,,
4,"[[ 0.  1.  2.  3.  4.  5.]
 [ 1.  1.  1.  2.  3.  4.]
 [ 2.  2.  2.  2.  3.  4.]
 [ 3.  3.  3.  2.  3.  4.]
 [ 4.  4.  4.  3.  3.  4.]
 [ 5.  5.  4.  4.  4.  4.]]",,,,,,
5,0.004673004150390625,,,,,,
0,1512132292.08642,,,,,,
1,ezfrm,,,,,,
2,ysaevi,,,,,,
3,6,,,,,,
4,"[[ 0.  1.  2.  3.  4.  5.  6.]
 [ 1.  1.  2.  3.  3.  4.  5.]
 [ 2.  2.  2.  3.  4.  4.  5.]
 [ 3.  3.  3.  3.  4.  5.  5.]
 [ 4.  4.  4.  4.  4.  5.  6.]
 [ 5.  5.  5.  5.  5.  5.  6.]]",,,,,,
5,0.0059359073638916016,,,,,,
0,1512132292.154156,,,,,,
1,xzomv,,,,,,
2,sqfnvpz,,,,,,
3,6,,,,,,
4,"[[ 0.  1.  2.  3.  4.  5.  6.  7.]
 [ 1.  1.  2.  3.  4.  5.  6.  7.]
 [ 2.  2.  2.  3.  4.  5.  6.  6.]
 [ 3.  3.  3.  3.  4.  5.  6.  7.]
 [ 4.  4.  4.  4.  4.  5.  6.  7.]
 [ 5.  5.  5.  5.  5.  4.  5.  6.]]",,,,,,
5,0.004663944244384766,,,,,,
0,1512132292.224707,,,,,,
1,seggt,,,,,,
2,hvrwzxfz,,,,,,
3,8,,,,,,
4,"[[ 0.  1.  2.  3.  4.  5.  6.  7.  8.]
 [ 1.  1.  2.  3.  4.  5.  6.  7.  8.]
 [ 2.  2.  2.  3.  4.  5.  6.  7.  8.]
 [ 3.  3.  3.  3.  4.  5.  6.  7.  8.]
 [ 4.  4.  4.  4.  4.  5.  6.  7.  8.]
 [ 5.  5.  5.  5.  5.  5.  6.  7.  8.]]",,,,,,
5,0.0039000511169433594,,,,,,
0,1512132292.289934,,,,,,
1,ovizf,,,,,,
2,cmdmtdctq,,,,,,
3,9,,,,,,
